Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
3/13/2020,5:00 PM,60,0.335,Direct,,NoTOU
3/13/2020,6:00 PM,60,0.595,Direct,,NoTOU
3/13/2020,7:00 PM,60,0.34,Direct,,NoTOU
3/13/2020,8:00 PM,60,0.4,Direct,,NoTOU
3/13/2020,9:00 PM,60,0.985,Direct,,NoTOU
3/13/2020,10:00 PM,60,0.54,Direct,,NoTOU
3/13/2020,11:00 PM,60,1.185,Direct,,NoTOU
3/14/2020,12:00 AM,60,0.285,Direct,,NoTOU
3/14/2020,1:00 AM,60,0.145,Direct,,NoTOU
3/14/2020,2:00 AM,60,0.13,Direct,,NoTOU
3/14/2020,3:00 AM,60,0.235,Direct,,NoTOU
3/14/2020,4:00 AM,60,0.175,Direct,,NoTOU
3/14/2020,5:00 AM,60,0.12,Direct,,NoTOU
3/14/2020,6:00 AM,60,0.18,Direct,,NoTOU
3/14/2020,7:00 AM,60,0.16,Direct,,NoTOU
3/14/2020,8:00 AM,60,0.125,Direct,,NoTOU
3/14/2020,9:00 AM,60,0.175,Direct,,NoTOU
3/14/2020,10:00 AM,60,0.16,Direct,,NoTOU
3/14/2020,11:00 AM,60,0.525,Direct,,NoTOU
3/14/2020,12:00 PM,60,0.7,Direct,,NoTOU
3/14/2020,1:00 PM,60,0.6,Direct,,NoTOU
3/14/2020,2:00 PM,60,1.7,Direct,,NoTOU
3/14/2020,3:00 PM,60,1.595,Direct,,NoTOU
3/14/2020,4:00 PM,60,0.335,Direct,,NoTOU
3/14/2020,5:00 PM,60,0.16,Direct,,NoTOU
3/14/2020,6:00 PM,60,0.35,Direct,,NoTOU
3/14/2020,7:00 PM,60,0.72,Direct,,NoTOU
3/14/2020,8:00 PM,60,0.515,Direct,,NoTOU
3/14/2020,9:00 PM,60,1.13,Direct,,NoTOU
3/14/2020,10:00 PM,60,0.93,Direct,,NoTOU
3/14/2020,11:00 PM,60,0.725,Direct,,NoTOU
3/15/2020,12:00 AM,60,0.14,Direct,,NoTOU
3/15/2020,1:00 AM,60,0.19,Direct,,NoTOU
3/15/2020,2:00 AM,60,0.16,Direct,,NoTOU
3/15/2020,3:00 AM,60,0.165,Direct,,NoTOU
3/15/2020,4:00 AM,60,0.135,Direct,,NoTOU
3/15/2020,5:00 AM,60,0.185,Direct,,NoTOU
3/15/2020,6:00 AM,60,0.18,Direct,,NoTOU
3/15/2020,7:00 AM,60,0.145,Direct,,NoTOU
3/15/2020,8:00 AM,60,0.145,Direct,,NoTOU
3/15/2020,9:00 AM,60,0.135,Direct,,NoTOU
3/15/2020,10:00 AM,60,0.255,Direct,,NoTOU
3/15/2020,11:00 AM,60,0.105,Direct,,NoTOU
3/15/2020,12:00 PM,60,0.59,Direct,,NoTOU
3/15/2020,1:00 PM,60,0.525,Direct,,NoTOU
3/15/2020,2:00 PM,60,1.825,Direct,,NoTOU
3/15/2020,3:00 PM,60,1.945,Direct,,NoTOU
3/15/2020,4:00 PM,60,0.29,Direct,,NoTOU
3/15/2020,5:00 PM,60,0.295,Direct,,NoTOU
3/15/2020,6:00 PM,60,0.22,Direct,,NoTOU
3/15/2020,7:00 PM,60,0.445,Direct,,NoTOU
3/15/2020,8:00 PM,60,0.56,Direct,,NoTOU
3/15/2020,9:00 PM,60,0.58,Direct,,NoTOU
3/15/2020,10:00 PM,60,0.62,Direct,,NoTOU
3/15/2020,11:00 PM,60,0.305,Direct,,NoTOU
3/16/2020,12:00 AM,60,0.17,Direct,,NoTOU
3/16/2020,1:00 AM,60,0.16,Direct,,NoTOU
3/16/2020,2:00 AM,60,0.16,Direct,,NoTOU
3/16/2020,3:00 AM,60,0.155,Direct,,NoTOU
3/16/2020,4:00 AM,60,0.155,Direct,,NoTOU
3/16/2020,5:00 AM,60,0.13,Direct,,NoTOU
3/16/2020,6:00 AM,60,0.32,Direct,,NoTOU
3/16/2020,7:00 AM,60,0.375,Direct,,NoTOU
3/16/2020,8:00 AM,60,0.17,Direct,,NoTOU
3/16/2020,9:00 AM,60,0.125,Direct,,NoTOU
3/16/2020,10:00 AM,60,0.175,Direct,,NoTOU
3/16/2020,11:00 AM,60,0.49,Direct,,NoTOU
3/16/2020,12:00 PM,60,0.685,Direct,,NoTOU
3/16/2020,1:00 PM,60,1.055,Direct,,NoTOU
3/16/2020,2:00 PM,60,0.12,Direct,,NoTOU
3/16/2020,3:00 PM,60,0.35,Direct,,NoTOU
3/16/2020,4:00 PM,60,0.665,Direct,,NoTOU
3/16/2020,5:00 PM,60,0.325,Direct,,NoTOU
3/16/2020,6:00 PM,60,0.285,Direct,,NoTOU
3/16/2020,7:00 PM,60,0.68,Direct,,NoTOU
3/16/2020,8:00 PM,60,0.41,Direct,,NoTOU
3/16/2020,9:00 PM,60,1.06,Direct,,NoTOU
3/16/2020,10:00 PM,60,0.81,Direct,,NoTOU
3/16/2020,11:00 PM,60,0.455,Direct,,NoTOU
3/17/2020,12:00 AM,60,0.21,Direct,,NoTOU
3/17/2020,1:00 AM,60,0.195,Direct,,NoTOU
3/17/2020,2:00 AM,60,0.185,Direct,,NoTOU
3/17/2020,3:00 AM,60,0.195,Direct,,NoTOU
3/17/2020,4:00 AM,60,0.165,Direct,,NoTOU
3/17/2020,5:00 AM,60,0.19,Direct,,NoTOU
3/17/2020,6:00 AM,60,0.18,Direct,,NoTOU
3/17/2020,7:00 AM,60,0.17,Direct,,NoTOU
3/17/2020,8:00 AM,60,0.32,Direct,,NoTOU
3/17/2020,9:00 AM,60,0.11,Direct,,NoTOU
3/17/2020,10:00 AM,60,0.185,Direct,,NoTOU
3/17/2020,11:00 AM,60,0.61,Direct,,NoTOU
3/17/2020,12:00 PM,60,0.54,Direct,,NoTOU
3/17/2020,1:00 PM,60,0.67,Direct,,NoTOU
3/17/2020,2:00 PM,60,0.785,Direct,,NoTOU
3/17/2020,3:00 PM,60,0.195,Direct,,NoTOU
3/17/2020,4:00 PM,60,0.66,Direct,,NoTOU
3/17/2020,5:00 PM,60,0.185,Direct,,NoTOU
3/17/2020,6:00 PM,60,0.27,Direct,,NoTOU
3/17/2020,7:00 PM,60,0.415,Direct,,NoTOU
3/17/2020,8:00 PM,60,1.14,Direct,,NoTOU
3/17/2020,9:00 PM,60,1.1,Direct,,NoTOU
3/17/2020,10:00 PM,60,0.715,Direct,,NoTOU
3/17/2020,11:00 PM,60,0.435,Direct,,NoTOU
3/18/2020,12:00 AM,60,0.19,Direct,,NoTOU
3/18/2020,1:00 AM,60,0.2,Direct,,NoTOU
3/18/2020,2:00 AM,60,0.205,Direct,,NoTOU
3/18/2020,3:00 AM,60,0.17,Direct,,NoTOU
3/18/2020,4:00 AM,60,0.19,Direct,,NoTOU
3/18/2020,5:00 AM,60,0.195,Direct,,NoTOU
3/18/2020,6:00 AM,60,0.19,Direct,,NoTOU
3/18/2020,7:00 AM,60,0.17,Direct,,NoTOU
3/18/2020,8:00 AM,60,0.19,Direct,,NoTOU
3/18/2020,9:00 AM,60,0.32,Direct,,NoTOU
3/18/2020,10:00 AM,60,0.185,Direct,,NoTOU
3/18/2020,11:00 AM,60,0.615,Direct,,NoTOU
3/18/2020,12:00 PM,60,0.59,Direct,,NoTOU
3/18/2020,1:00 PM,60,1.48,Direct,,NoTOU
